sampno,vehno,vehicle_num,num_hh_vehicles,year,make,make_other,make_clean,model,model_other,model_clean,fuel,fuel_clean,veh_type,veh_type_clean,vehicle_status,flag_hev,flag_phev,flag_fcev,flag_bev,obtain,company_car,current_acquired_year,current_acquired_month,annual_mileage,electric_percent,tnc_veh,tnc_miles,delivery,delivery_miles,mpg,replace_intent,current_primary_driver,primary_driver_id,company_acquired_year,fuel_pay,personal_miles,business_miles,company_primary_driver,company_primary_driver_id,other_drivers,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5
190237,3,3,3,2015,CHEVROLET, ,CHEVROLET,,,,3,3,2,2, ,0,1,0,0,1, ,2014, ,4000,80,2, ,2, ,40,2,1,190237.p01, , , , , , , , , , , , 
190238,1,1,3,2003,ACURA, ,ACURA,,,,1,1,1,1, ,0,0,0,0,3, ,2016, ,3000, ,2, ,2, ,20,2,1,190238.p01, , , , , , , , , , , , 
190239,2,2,2,2006,BMW, ,BMW,,,,1,1,6,6, ,0,0,0,0,1, ,2006, ,7000, ,2, ,2, ,20,3,1,190239.p01, , , , , , , , , , , , 
190242,1,1,1,2016,NISSAN, ,NISSAN,,,,1,1,3,3, ,0,0,0,0,3, ,2017, ,15000, ,2, ,2, ,20,6,1,190242.p01, , , , , , , , , , , , 
190244,2,2,3,2017,VOLKSWAGEN, ,VOLKSWAGEN,,,,1,1,2,2, ,0,0,0,0,1, ,2017, ,8000, ,2, ,2, ,20,4,1,190244.p01, , , , , , , , , , , , 
190247,1,1,1,2003,BMW, ,BMW,,,,1,1,1,1, ,0,0,0,0,3, ,2005, ,7000, ,2, ,2, ,23,2,1,190247.p01, , , , , , , , , , , , 
190254,2,2,2,2018,TOYOTA, ,TOYOTA,,,,1,1,6,6, ,0,0,0,0,2, ,2018,10,3500, ,2, ,2, ,18,3,1,190254.p01, , , , , , , , , , , , 
190249,1,1,2,2001,CHEVROLET, ,CHEVROLET,,,,1,1,9,9, ,0,0,0,0,6, ,2004, ,20000, ,2, ,2, ,10,3,1,190249.p01, , , , , , , , , , , , 
190251,2,2,2,2016,INFINITI, ,INFINITI,,,,1,1,7,7, ,0,0,0,0,2, ,2016, ,5000, ,2, ,2, ,20,4,2,190251.p02, , , , , , , , , , , , 
190252,1,1,2,2019,NISSAN, ,NISSAN,,,,5,5,2,2, ,0,0,0,1,2, ,2019,1,12000, ,2, ,2, ,99,3,1,190252.p01, , , , , , , , , , , , 
190256,3,3,3,1980,CHEVROLET, ,CHEVROLET,,,,1,1,13,13, ,0,0,0,0,3, ,2016, ,2500, ,2, ,2, ,12,4,2,190256.p02, , , , , , , , , , , , 
